"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-08","5 ROOM","275A","BISHAN ST 24","22 TO 24","22","120","2011","90 years","1080","1080000","3","1"
"2020-08","5 ROOM","442","SIN MING AVE","16 TO 18","16","125","1990","68 years 07 months","816","735000","3","1"
"2020-08","EXECUTIVE","159","BISHAN ST 13","01 TO 03","1","144","1988","66 years 10 months","792","810000","1","1"
"2020-08","EXECUTIVE","238","BISHAN ST 22","07 TO 09","7","143","1992","71 years","852","922500","2","1"
"2020-08","EXECUTIVE","261","BISHAN ST 22","01 TO 03","1","149","1992","71 years","852","760000","1","1"
"2020-08","EXECUTIVE","222","BISHAN ST 23","07 TO 09","7","146","1992","71 years","852","888000","2","1"
"2020-08","EXECUTIVE","212","BISHAN ST 23","04 TO 06","4","146","1992","70 years 09 months","840","828000","1","1"
"2020-08","EXECUTIVE","449","SIN MING AVE","10 TO 12","10","186","1990","68 years 07 months","816","958000","2","1"
"2020-08","EXECUTIVE","401","SIN MING AVE","01 TO 03","1","155","1985","64 years 03 months","768","845000","1","1"
"2020-09","3 ROOM","115","BISHAN ST 12","07 TO 09","7","64","1986","64 years 05 months","768","415000","2","1"
"2020-09","3 ROOM","184","BISHAN ST 13","01 TO 03","1","64","1988","66 years 05 months","792","400000","1","1"
"2020-09","3 ROOM","306","SHUNFU RD","01 TO 03","1","73","1985","63 years 05 months","756","395000","1","1"
"2020-09","3 ROOM","22","SIN MING RD","10 TO 12","10","68","1973","52 years 01 month","624","238000","2","0"
"2020-09","3 ROOM","24","SIN MING RD","04 TO 06","4","65","1973","52 years 01 month","624","256000","1","0"
"2020-09","4 ROOM","145","BISHAN ST 11","07 TO 09","7","84","1987","66 years 02 months","792","445000","2","1"
"2020-09","4 ROOM","116","BISHAN ST 12","01 TO 03","1","84","1985","64 years 02 months","768","475000","1","1"
"2020-09","4 ROOM","127","BISHAN ST 12","04 TO 06","4","83","1986","65 years 03 months","780","488000","1","1"
"2020-09","4 ROOM","123","BISHAN ST 12","07 TO 09","7","84","1986","64 years 05 months","768","499000","2","1"
"2020-09","4 ROOM","155","BISHAN ST 13","01 TO 03","1","104","1987","66 years 02 months","792","470000","1","1"
"2020-09","4 ROOM","256","BISHAN ST 22","07 TO 09","7","112","1992","70 years 11 months","840","560000","2","1"
"2020-09","4 ROOM","262","BISHAN ST 22","10 TO 12","10","104","1992","70 years 11 months","840","573000","2","1"
"2020-09","4 ROOM","236","BISHAN ST 22","04 TO 06","4","106","1992","70 years 08 months","840","565000","1","1"
"2020-09","4 ROOM","241","BISHAN ST 22","04 TO 06","4","103","1992","70 years 11 months","840","570000","1","1"
"2020-09","4 ROOM","234","BISHAN ST 22","07 TO 09","7","103","1992","70 years 08 months","840","572000","2","1"
"2020-09","4 ROOM","220","BISHAN ST 23","04 TO 06","4","105","1992","70 years 11 months","840","538000","1","1"
"2020-09","4 ROOM","268","BISHAN ST 24","16 TO 18","16","108","1992","70 years 11 months","840","610000","3","1"
"2020-09","4 ROOM","273A","BISHAN ST 24","01 TO 03","1","95","2011","90 years","1080","670000","1","1"
"2020-09","4 ROOM","272","BISHAN ST 24","04 TO 06","4","103","1992","71 years","852","565000","1","1"
"2020-09","4 ROOM","291","BISHAN ST 24","04 TO 06","4","102","1998","76 years 09 months","912","563000","1","1"
"2020-09","4 ROOM","291","BISHAN ST 24","01 TO 03","1","101","1998","76 years 09 months","912","450000","1","1"
"2020-09","4 ROOM","271","BISHAN ST 24","07 TO 09","7","104","1992","70 years 11 months","840","560000","2","1"
"2020-09","4 ROOM","264","BISHAN ST 24","01 TO 03","1","101","1992","70 years 11 months","840","435000","1","1"
"2020-09","4 ROOM","448","BRIGHT HILL DR","04 TO 06","4","109","1990","68 years 07 months","816","545000","1","1"
"2020-09","4 ROOM","313","SHUNFU RD","04 TO 06","4","92","1985","63 years 10 months","756","528000","1","1"
"2020-09","4 ROOM","445","SIN MING AVE","07 TO 09","7","105","1990","68 years 05 months","816","538000","2","1"
"2020-09","4 ROOM","449","SIN MING AVE","01 TO 03","1","105","1990","68 years 07 months","816","532000","1","1"
"2020-09","4 ROOM","25","SIN MING RD","04 TO 06","4","88","1974","52 years 11 months","624","355000","1","0"
"2020-09","5 ROOM","126","BISHAN ST 12","07 TO 09","7","121","1987","65 years 10 months","780","670000","2","1"
"2020-09","5 ROOM","142","BISHAN ST 12","04 TO 06","4","119","1988","66 years 11 months","792","600000","1","1"
"2020-09","5 ROOM","127","BISHAN ST 12","01 TO 03","1","121","1986","65 years 03 months","780","630000","1","1"
"2020-09","5 ROOM","124","BISHAN ST 12","04 TO 06","4","121","1987","65 years 09 months","780","650000","1","1"
"2020-09","5 ROOM","190","BISHAN ST 13","16 TO 18","16","121","1987","65 years 05 months","780","850000","3","1"
"2020-09","5 ROOM","165","BISHAN ST 13","07 TO 09","7","121","1988","67 years","804","708000","2","1"
"2020-09","5 ROOM","182","BISHAN ST 13","07 TO 09","7","121","1987","65 years 10 months","780","780000","2","1"
"2020-09","5 ROOM","194","BISHAN ST 13","04 TO 06","4","121","1987","65 years 08 months","780","750000","1","1"
"2020-09","5 ROOM","253","BISHAN ST 22","07 TO 09","7","121","1992","70 years 11 months","840","785000","2","1"
"2020-09","5 ROOM","293","BISHAN ST 22","13 TO 15","13","123","1998","76 years 09 months","912","790000","3","1"
"2020-09","5 ROOM","210","BISHAN ST 23","10 TO 12","10","135","1992","70 years 08 months","840","780000","2","1"
"2020-09","5 ROOM","290","BISHAN ST 24","25 TO 27","25","123","1998","76 years 10 months","912","838000","3","1"
"2020-09","5 ROOM","275A","BISHAN ST 24","13 TO 15","13","120","2011","90 years","1080","965000","3","1"
"2020-09","5 ROOM","291","BISHAN ST 24","10 TO 12","10","121","1998","76 years 09 months","912","750000","2","1"
"2020-09","EXECUTIVE","245","BISHAN ST 22","13 TO 15","13","154","1992","70 years 11 months","840","1044888","3","1"
"2020-09","EXECUTIVE","258","BISHAN ST 22","01 TO 03","1","148","1992","70 years 11 months","840","728000","1","1"
"2020-09","EXECUTIVE","237","BISHAN ST 22","01 TO 03","1","141","1992","70 years 07 months","840","880000","1","1"
"2020-09","EXECUTIVE","441","SIN MING AVE","10 TO 12","10","187","1990","68 years 05 months","816","980000","2","1"
"2020-10","3 ROOM","132","BISHAN ST 12","01 TO 03","1","64","1987","65 years 04 months","780","385000","1","1"
"2020-10","3 ROOM","171","BISHAN ST 13","01 TO 03","1","64","1988","66 years 04 months","792","390000","1","1"
"2020-10","3 ROOM","309","SHUNFU RD","01 TO 03","1","67","1984","63 years 02 months","756","380000","1","1"
"2020-10","3 ROOM","309","SHUNFU RD","04 TO 06","4","67","1984","63 years 01 month","756","377000","1","1"
"2020-10","3 ROOM","403","SIN MING AVE","04 TO 06","4","64","1986","64 years 11 months","768","371000","1","1"
"2020-10","3 ROOM","23","SIN MING RD","10 TO 12","10","65","1973","52 years 01 month","624","268000","2","0"
"2020-10","3 ROOM","23","SIN MING RD","04 TO 06","4","65","1973","52 years 01 month","624","250000","1","0"
"2020-10","3 ROOM","22","SIN MING RD","10 TO 12","10","67","1973","52 years","624","280000","2","0"
"2020-10","4 ROOM","133","BISHAN ST 12","04 TO 06","4","84","1987","65 years 05 months","780","430000","1","1"
"2020-10","4 ROOM","111","BISHAN ST 12","10 TO 12","10","105","1986","64 years 04 months","768","638000","2","1"
"2020-10","4 ROOM","130","BISHAN ST 12","04 TO 06","4","84","1986","64 years 04 months","768","370000","1","1"
"2020-10","4 ROOM","170","BISHAN ST 13","01 TO 03","1","83","1987","66 years","792","420000","1","1"
"2020-10","4 ROOM","182","BISHAN ST 13","01 TO 03","1","83","1987","65 years 09 months","780","470000","1","1"
"2020-10","4 ROOM","172","BISHAN ST 13","07 TO 09","7","83","1987","66 years 02 months","792","465000","2","1"
"2020-10","4 ROOM","285","BISHAN ST 22","16 TO 18","16","108","1992","70 years 11 months","840","681000","3","1"
"2020-10","4 ROOM","263","BISHAN ST 22","22 TO 24","22","106","1992","70 years 10 months","840","688000","3","1"
"2020-10","4 ROOM","251","BISHAN ST 22","01 TO 03","1","108","1992","70 years 10 months","840","475000","1","1"
"2020-10","4 ROOM","239","BISHAN ST 22","13 TO 15","13","105","1992","70 years 10 months","840","585000","3","1"
"2020-10","4 ROOM","262","BISHAN ST 22","01 TO 03","1","104","1992","70 years 10 months","840","490000","1","1"
"2020-10","4 ROOM","203","BISHAN ST 23","01 TO 03","1","103","1992","70 years 07 months","840","560000","1","1"
"2020-10","4 ROOM","220","BISHAN ST 23","07 TO 09","7","105","1992","70 years 10 months","840","638000","2","1"
"2020-10","4 ROOM","273A","BISHAN ST 24","28 TO 30","28","95","2011","89 years 11 months","1068","840000","3","1"
"2020-10","4 ROOM","278","BISHAN ST 24","01 TO 03","1","108","1992","70 years 10 months","840","495000","1","1"
"2020-10","4 ROOM","273B","BISHAN ST 24","28 TO 30","28","95","2011","89 years 11 months","1068","860000","3","1"
"2020-10","4 ROOM","275A","BISHAN ST 24","25 TO 27","25","95","2011","89 years 11 months","1068","883000","3","1"
"2020-10","4 ROOM","313","SHUNFU RD","07 TO 09","7","92","1985","63 years 08 months","756","580000","2","1"
"2020-10","4 ROOM","406","SIN MING AVE","04 TO 06","4","89","1987","65 years 06 months","780","500000","1","1"
"2020-10","4 ROOM","445","SIN MING AVE","07 TO 09","7","105","1990","68 years 03 months","816","580000","2","1"
"2020-10","5 ROOM","147","BISHAN ST 11","07 TO 09","7","122","1987","65 years 05 months","780","640000","2","1"
"2020-10","5 ROOM","145","BISHAN ST 11","07 TO 09","7","122","1987","66 years","792","625000","2","1"
"2020-10","5 ROOM","142","BISHAN ST 12","10 TO 12","10","122","1988","66 years 11 months","792","696800","2","1"
"2020-10","5 ROOM","128","BISHAN ST 12","13 TO 15","13","121","1987","65 years 05 months","780","760000","3","1"
"2020-10","5 ROOM","142","BISHAN ST 12","04 TO 06","4","122","1988","66 years 10 months","792","718000","1","1"
"2020-10","5 ROOM","101","BISHAN ST 12","19 TO 21","19","121","1987","65 years 03 months","780","768000","3","1"
"2020-10","5 ROOM","102","BISHAN ST 12","04 TO 06","4","121","1987","65 years 03 months","780","720000","1","1"
"2020-10","5 ROOM","140","BISHAN ST 12","04 TO 06","4","128","1988","66 years 10 months","792","680000","1","1"
"2020-10","5 ROOM","103","BISHAN ST 12","22 TO 24","22","121","1986","65 years 01 month","780","760000","3","1"
"2020-10","5 ROOM","165","BISHAN ST 13","19 TO 21","19","131","1988","67 years","804","745000","3","1"
"2020-10","5 ROOM","177","BISHAN ST 13","07 TO 09","7","121","1987","65 years 11 months","780","690000","2","1"
"2020-10","5 ROOM","192","BISHAN ST 13","01 TO 03","1","120","1987","65 years 10 months","780","680000","1","1"
"2020-10","5 ROOM","275A","BISHAN ST 24","28 TO 30","28","120","2011","89 years 11 months","1068","1208000","3","1"
"2020-10","5 ROOM","289","BISHAN ST 24","07 TO 09","7","121","1998","76 years 09 months","912","725000","2","1"
"2020-10","5 ROOM","402","SIN MING AVE","19 TO 21","19","120","1986","64 years 03 months","768","750000","3","1"
"2020-10","5 ROOM","453","SIN MING AVE","04 TO 06","4","120","1990","68 years 04 months","816","648000","1","1"
"2020-10","EXECUTIVE","173","BISHAN ST 13","19 TO 21","19","163","1987","65 years 06 months","780","1128000","3","1"
"2020-10","EXECUTIVE","257","BISHAN ST 22","10 TO 12","10","148","1992","70 years 10 months","840","868000","2","1"
"2020-10","EXECUTIVE","245","BISHAN ST 22","07 TO 09","7","147","1992","70 years 10 months","840","900000","2","1"
"2020-10","EXECUTIVE","222","BISHAN ST 23","01 TO 03","1","146","1992","70 years 10 months","840","888888","1","1"
"2020-10","EXECUTIVE","222","BISHAN ST 23","04 TO 06","4","146","1992","70 years 10 months","840","868000","1","1"
"2020-10","EXECUTIVE","301","SHUNFU RD","07 TO 09","7","146","1985","63 years 10 months","756","990000","2","1"
"2020-10","MULTI-GENERATION","148","BISHAN ST 11","04 TO 06","4","160","1987","65 years 10 months","780","940000","1","1"
"2020-11","3 ROOM","150A","BISHAN ST 11","01 TO 03","1","64","1989","67 years 03 months","804","298000","1","1"
"2020-11","3 ROOM","115","BISHAN ST 12","01 TO 03","1","64","1986","64 years 03 months","768","369000","1","1"
"2020-11","3 ROOM","105","BISHAN ST 12","01 TO 03","1","64","1985","64 years 02 months","768","335000","1","1"
"2020-11","3 ROOM","129","BISHAN ST 12","01 TO 03","1","63","1987","65 years 04 months","780","365000","1","1"
"2020-11","3 ROOM","171","BISHAN ST 13","07 TO 09","7","64","1988","66 years 02 months","792","400000","2","1"
"2020-11","3 ROOM","304","SHUNFU RD","01 TO 03","1","67","1985","63 years 04 months","756","370000","1","1"
"2020-11","3 ROOM","22","SIN MING RD","10 TO 12","10","68","1973","52 years","624","275000","2","0"
"2020-11","3 ROOM","23","SIN MING RD","07 TO 09","7","65","1973","52 years","624","265000","2","0"
"2020-11","4 ROOM","146","BISHAN ST 11","07 TO 09","7","84","1987","65 years 10 months","780","450000","2","1"
"2020-11","4 ROOM","113","BISHAN ST 12","10 TO 12","10","84","1986","64 years 03 months","768","545000","2","1"
"2020-11","4 ROOM","123","BISHAN ST 12","04 TO 06","4","84","1986","64 years 04 months","768","458000","1","1"
"2020-11","4 ROOM","123","BISHAN ST 12","07 TO 09","7","105","1986","64 years 04 months","768","525000","2","1"
"2020-11","4 ROOM","115","BISHAN ST 12","07 TO 09","7","84","1986","64 years 03 months","768","458000","2","1"
"2020-11","4 ROOM","122","BISHAN ST 12","10 TO 12","10","84","1986","64 years 04 months","768","485000","2","1"
"2020-11","4 ROOM","141","BISHAN ST 12","01 TO 03","1","84","1988","66 years 10 months","792","418000","1","1"
"2020-11","4 ROOM","109","BISHAN ST 12","04 TO 06","4","105","1985","64 years 02 months","768","600000","1","1"
"2020-11","4 ROOM","140","BISHAN ST 12","04 TO 06","4","103","1988","66 years 10 months","792","582000","1","1"
"2020-11","4 ROOM","141","BISHAN ST 12","07 TO 09","7","103","1988","66 years 10 months","792","515000","2","1"
"2020-11","4 ROOM","109","BISHAN ST 12","10 TO 12","10","84","1985","64 years 01 month","768","508888","2","1"
"2020-11","4 ROOM","130","BISHAN ST 12","04 TO 06","4","105","1986","64 years 04 months","768","490000","1","1"
"2020-11","4 ROOM","114","BISHAN ST 12","07 TO 09","7","104","1986","64 years 02 months","768","640000","2","1"
"2020-11","4 ROOM","109","BISHAN ST 12","10 TO 12","10","84","1985","64 years 02 months","768","530000","2","1"
"2020-11","4 ROOM","109","BISHAN ST 12","07 TO 09","7","84","1985","64 years 01 month","768","508000","2","1"
"2020-11","4 ROOM","111","BISHAN ST 12","01 TO 03","1","84","1986","64 years 03 months","768","453000","1","1"
"2020-11","4 ROOM","167","BISHAN ST 13","01 TO 03","1","103","1988","66 years 11 months","792","488800","1","1"
"2020-11","4 ROOM","167","BISHAN ST 13","07 TO 09","7","84","1988","66 years 11 months","792","410000","2","1"
"2020-11","4 ROOM","181","BISHAN ST 13","04 TO 06","4","83","1987","65 years 04 months","780","537000","1","1"
"2020-11","4 ROOM","262","BISHAN ST 22","07 TO 09","7","104","1992","70 years 10 months","840","520000","2","1"
"2020-11","4 ROOM","241","BISHAN ST 22","04 TO 06","4","117","1992","70 years 10 months","840","660000","1","1"
"2020-11","4 ROOM","263","BISHAN ST 22","07 TO 09","7","106","1992","70 years 10 months","840","512000","2","1"
"2020-11","4 ROOM","285","BISHAN ST 22","01 TO 03","1","108","1992","70 years 09 months","840","468000","1","1"
"2020-11","4 ROOM","225","BISHAN ST 23","07 TO 09","7","103","1992","70 years 09 months","840","592888","2","1"
"2020-11","4 ROOM","213","BISHAN ST 23","01 TO 03","1","115","1992","70 years 05 months","840","582000","1","1"
"2020-11","4 ROOM","272","BISHAN ST 24","07 TO 09","7","104","1992","70 years 09 months","840","588000","2","1"
"2020-11","4 ROOM","287","BISHAN ST 24","04 TO 06","4","103","1992","70 years 09 months","840","517400","1","1"
"2020-11","4 ROOM","303","SHUNFU RD","04 TO 06","4","97","1985","63 years 05 months","756","550000","1","1"
"2020-11","5 ROOM","146","BISHAN ST 11","04 TO 06","4","122","1987","65 years 10 months","780","645000","1","1"
"2020-11","5 ROOM","128","BISHAN ST 12","07 TO 09","7","121","1987","65 years 04 months","780","735000","2","1"
"2020-11","5 ROOM","102","BISHAN ST 12","04 TO 06","4","121","1987","65 years 03 months","780","690000","1","1"
"2020-11","5 ROOM","124","BISHAN ST 12","04 TO 06","4","121","1987","65 years 08 months","780","662888","1","1"
"2020-11","5 ROOM","135","BISHAN ST 12","01 TO 03","1","121","1987","65 years 08 months","780","633000","1","1"
"2020-11","5 ROOM","153","BISHAN ST 13","04 TO 06","4","121","1987","66 years","792","660000","1","1"
"2020-11","5 ROOM","190","BISHAN ST 13","10 TO 12","10","121","1987","65 years 03 months","780","780000","2","1"
"2020-11","5 ROOM","154","BISHAN ST 13","01 TO 03","1","121","1987","66 years 02 months","792","620000","1","1"
"2020-11","5 ROOM","158","BISHAN ST 13","07 TO 09","7","127","1988","66 years 04 months","792","650000","2","1"
"2020-11","5 ROOM","153","BISHAN ST 13","04 TO 06","4","121","1987","66 years","792","627000","1","1"
"2020-11","5 ROOM","153","BISHAN ST 13","07 TO 09","7","119","1987","66 years","792","705000","2","1"
"2020-11","5 ROOM","242","BISHAN ST 22","01 TO 03","1","121","1992","70 years 10 months","840","733888","1","1"
"2020-11","5 ROOM","253","BISHAN ST 22","04 TO 06","4","133","1992","70 years 10 months","840","765000","1","1"
"2020-11","5 ROOM","226","BISHAN ST 23","04 TO 06","4","139","1992","70 years 06 months","840","715000","1","1"
"2020-11","5 ROOM","266","BISHAN ST 24","04 TO 06","4","134","1992","70 years 09 months","840","680000","1","1"
"2020-11","5 ROOM","273B","BISHAN ST 24","31 TO 33","31","120","2011","89 years 10 months","1068","950000","3","1"
"2020-11","5 ROOM","289","BISHAN ST 24","10 TO 12","10","123","1998","76 years 08 months","912","805000","2","1"
"2020-11","5 ROOM","291","BISHAN ST 24","13 TO 15","13","123","1998","76 years 07 months","912","800000","3","1"
"2020-11","5 ROOM","312","SHUNFU RD","01 TO 03","1","121","1985","63 years 08 months","756","678000","1","1"
"2020-11","5 ROOM","453","SIN MING AVE","01 TO 03","1","120","1990","68 years 03 months","816","635000","1","1"
"2020-11","EXECUTIVE","134","BISHAN ST 12","01 TO 03","1","143","1986","65 years 01 month","780","780000","1","1"
"2020-11","EXECUTIVE","173","BISHAN ST 13","19 TO 21","19","150","1987","65 years 06 months","780","1028000","3","1"
"2020-11","EXECUTIVE","238","BISHAN ST 22","01 TO 03","1","151","1992","70 years 09 months","840","820000","1","1"
"2020-11","EXECUTIVE","212","BISHAN ST 23","07 TO 09","7","150","1992","70 years 07 months","840","950000","2","1"
"2020-12","3 ROOM","105","BISHAN ST 12","01 TO 03","1","64","1985","64 years 01 month","768","328000","1","1"
"2020-12","3 ROOM","195","BISHAN ST 13","04 TO 06","4","64","1988","66 years 02 months","792","393000","1","1"
"2020-12","3 ROOM","308","SHUNFU RD","07 TO 09","7","67","1984","63 years 01 month","756","468000","2","1"
"2020-12","3 ROOM","306","SHUNFU RD","04 TO 06","4","67","1985","63 years 02 months","756","410000","1","1"
"2020-12","3 ROOM","403","SIN MING AVE","10 TO 12","10","64","1986","64 years 09 months","768","390000","2","1"
"2020-12","3 ROOM","22","SIN MING RD","10 TO 12","10","68","1973","51 years 11 months","612","263000","2","0"
"2020-12","3 ROOM","24","SIN MING RD","07 TO 09","7","65","1973","51 years 10 months","612","265000","2","0"
"2020-12","3 ROOM","24","SIN MING RD","07 TO 09","7","65","1973","51 years 10 months","612","275000","2","0"
"2020-12","4 ROOM","114","BISHAN ST 12","10 TO 12","10","84","1986","64 years 02 months","768","520000","2","1"
"2020-12","4 ROOM","138","BISHAN ST 12","04 TO 06","4","84","1987","65 years 08 months","780","450000","1","1"
"2020-12","4 ROOM","144","BISHAN ST 12","01 TO 03","1","104","1988","66 years 09 months","792","480000","1","1"
"2020-12","4 ROOM","122","BISHAN ST 12","01 TO 03","1","105","1986","64 years 04 months","768","500000","1","1"
"2020-12","4 ROOM","108","BISHAN ST 12","01 TO 03","1","89","1985","63 years 11 months","756","500000","1","1"
"2020-12","4 ROOM","124","BISHAN ST 12","10 TO 12","10","84","1987","65 years 07 months","780","499998","2","1"
"2020-12","4 ROOM","130","BISHAN ST 12","04 TO 06","4","84","1986","64 years 04 months","768","485000","1","1"
"2020-12","4 ROOM","114","BISHAN ST 12","10 TO 12","10","84","1986","64 years 02 months","768","516000","2","1"
"2020-12","4 ROOM","106","BISHAN ST 12","10 TO 12","10","84","1985","63 years 11 months","756","492000","2","1"
"2020-12","4 ROOM","184","BISHAN ST 13","01 TO 03","1","90","1988","66 years 03 months","792","530000","1","1"
"2020-12","4 ROOM","167","BISHAN ST 13","04 TO 06","4","84","1988","66 years 10 months","792","445000","1","1"
"2020-12","4 ROOM","154","BISHAN ST 13","07 TO 09","7","84","1987","66 years 01 month","792","438000","2","1"
"2020-12","4 ROOM","167","BISHAN ST 13","04 TO 06","4","84","1988","66 years 09 months","792","440000","1","1"
"2020-12","4 ROOM","253","BISHAN ST 22","01 TO 03","1","107","1992","70 years 09 months","840","548000","1","1"
"2020-12","4 ROOM","233","BISHAN ST 22","07 TO 09","7","105","1992","70 years 06 months","840","590000","2","1"
"2020-12","4 ROOM","253","BISHAN ST 22","01 TO 03","1","112","1992","70 years 09 months","840","520000","1","1"
"2020-12","4 ROOM","249","BISHAN ST 22","01 TO 03","1","105","1992","70 years 08 months","840","525000","1","1"
"2020-12","4 ROOM","249","BISHAN ST 22","04 TO 06","4","103","1992","70 years 08 months","840","578000","1","1"
"2020-12","4 ROOM","259","BISHAN ST 22","04 TO 06","4","104","1992","70 years 08 months","840","525000","1","1"
"2020-12","4 ROOM","243","BISHAN ST 22","07 TO 09","7","105","1992","70 years 08 months","840","580000","2","1"
"2020-12","4 ROOM","204","BISHAN ST 23","04 TO 06","4","104","1992","70 years 05 months","840","570000","1","1"
"2020-12","4 ROOM","230","BISHAN ST 23","07 TO 09","7","109","1992","70 years 05 months","840","570000","2","1"
"2020-12","4 ROOM","268","BISHAN ST 24","10 TO 12","10","106","1992","70 years 09 months","840","650000","2","1"
"2020-12","4 ROOM","267","BISHAN ST 24","07 TO 09","7","104","1992","70 years 08 months","840","570000","2","1"
"2020-12","4 ROOM","269","BISHAN ST 24","19 TO 21","19","103","1992","70 years 08 months","840","652000","3","1"
"2020-12","4 ROOM","291","BISHAN ST 24","04 TO 06","4","102","1998","76 years 06 months","912","560000","1","1"
"2020-12","4 ROOM","289","BISHAN ST 24","01 TO 03","1","102","1998","76 years 06 months","912","515000","1","1"
"2020-12","4 ROOM","441","SIN MING AVE","10 TO 12","10","103","1990","68 years 03 months","816","570000","2","1"
"2020-12","4 ROOM","449","SIN MING AVE","01 TO 03","1","105","1990","68 years 04 months","816","540000","1","1"
"2020-12","5 ROOM","149","BISHAN ST 11","04 TO 06","4","122","1987","65 years 02 months","780","660000","1","1"
"2020-12","5 ROOM","140","BISHAN ST 12","07 TO 09","7","123","1988","66 years 09 months","792","698000","2","1"
"2020-12","5 ROOM","135","BISHAN ST 12","10 TO 12","10","121","1987","65 years 07 months","780","723000","2","1"
"2020-12","5 ROOM","125","BISHAN ST 12","04 TO 06","4","121","1987","65 years 07 months","780","670000","1","1"
"2020-12","5 ROOM","136","BISHAN ST 12","07 TO 09","7","122","1987","66 years","792","655000","2","1"
"2020-12","5 ROOM","141","BISHAN ST 12","07 TO 09","7","119","1988","66 years 08 months","792","678500","2","1"
"2020-12","5 ROOM","142","BISHAN ST 12","07 TO 09","7","130","1988","66 years 08 months","792","780000","2","1"
"2020-12","5 ROOM","194","BISHAN ST 13","07 TO 09","7","121","1987","65 years 06 months","780","820000","2","1"
"2020-12","5 ROOM","155","BISHAN ST 13","13 TO 15","13","131","1987","66 years","792","763888","3","1"
"2020-12","5 ROOM","157","BISHAN ST 13","13 TO 15","13","131","1988","66 years 02 months","792","780000","3","1"
"2020-12","5 ROOM","153","BISHAN ST 13","01 TO 03","1","130","1987","65 years 10 months","780","608000","1","1"
"2020-12","5 ROOM","163","BISHAN ST 13","13 TO 15","13","131","1988","66 years 08 months","792","758000","3","1"
"2020-12","5 ROOM","192","BISHAN ST 13","01 TO 03","1","120","1987","65 years 08 months","780","625000","1","1"
"2020-12","5 ROOM","182","BISHAN ST 13","07 TO 09","7","121","1987","65 years 07 months","780","790000","2","1"
"2020-12","5 ROOM","237","BISHAN ST 22","04 TO 06","4","121","1992","70 years 05 months","840","840000","1","1"
"2020-12","5 ROOM","242","BISHAN ST 22","07 TO 09","7","121","1992","70 years 08 months","840","880800","2","1"
"2020-12","5 ROOM","237","BISHAN ST 22","04 TO 06","4","127","1992","70 years 05 months","840","810000","1","1"
"2020-12","5 ROOM","275A","BISHAN ST 24","34 TO 36","34","120","2011","89 years 09 months","1068","1180000","3","1"
"2020-12","5 ROOM","275A","BISHAN ST 24","37 TO 39","37","120","2011","89 years 09 months","1068","1075000","3","1"
"2020-12","5 ROOM","273B","BISHAN ST 24","25 TO 27","25","120","2011","89 years 09 months","1068","1218888","3","1"
"2020-12","5 ROOM","447","BRIGHT HILL DR","13 TO 15","13","120","1990","68 years 02 months","816","715000","3","1"
"2020-12","5 ROOM","312","SHUNFU RD","10 TO 12","10","121","1985","63 years 07 months","756","730000","2","1"
"2020-12","5 ROOM","453","SIN MING AVE","10 TO 12","10","125","1990","68 years 03 months","816","700000","2","1"
"2020-12","EXECUTIVE","134","BISHAN ST 12","10 TO 12","10","151","1986","65 years","780","908000","2","1"
"2020-12","EXECUTIVE","102","BISHAN ST 12","22 TO 24","22","150","1987","65 years 01 month","780","980000","3","1"
"2020-12","EXECUTIVE","174","BISHAN ST 13","01 TO 03","1","146","1986","65 years","780","850000","1","1"
"2020-12","EXECUTIVE","160","BISHAN ST 13","01 TO 03","1","149","1987","65 years 09 months","780","825000","1","1"
"2020-12","EXECUTIVE","186","BISHAN ST 13","01 TO 03","1","146","1987","65 years 09 months","780","905000","1","1"
"2020-12","EXECUTIVE","190","BISHAN ST 13","19 TO 21","19","150","1987","65 years 02 months","780","1058000","3","1"
"2020-12","EXECUTIVE","186","BISHAN ST 13","04 TO 06","4","146","1987","65 years 08 months","780","908888","1","1"
"2020-12","EXECUTIVE","257","BISHAN ST 22","07 TO 09","7","147","1992","70 years 09 months","840","860000","2","1"
"2020-12","EXECUTIVE","245","BISHAN ST 22","04 TO 06","4","147","1992","70 years 09 months","840","860000","1","1"
"2020-12","EXECUTIVE","231","BISHAN ST 23","04 TO 06","4","146","1992","70 years 05 months","840","910000","1","1"
"2020-12","EXECUTIVE","212","BISHAN ST 23","01 TO 03","1","149","1992","70 years 05 months","840","880000","1","1"
