"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-01","5 ROOM","291","BISHAN ST 24","07 TO 09","7","121","1998","77 years 05 months","924","690000","2","1"
"2020-01","5 ROOM","273A","BISHAN ST 24","13 TO 15","13","120","2011","90 years 07 months","1080","860000","3","1"
"2020-01","5 ROOM","443","SIN MING AVE","04 TO 06","4","123","1990","69 years 01 month","828","690000","1","1"
"2020-01","5 ROOM","450","SIN MING AVE","10 TO 12","10","125","1989","69 years","828","700000","2","1"
"2020-01","5 ROOM","444","SIN MING AVE","10 TO 12","10","125","1990","69 years 01 month","828","690000","2","1"
"2020-01","EXECUTIVE","134","BISHAN ST 12","01 TO 03","1","151","1986","65 years 10 months","780","780000","1","1"
"2020-01","EXECUTIVE","187","BISHAN ST 13","04 TO 06","4","146","1987","66 years 01 month","792","940000","1","1"
"2020-01","EXECUTIVE","187","BISHAN ST 13","01 TO 03","1","142","1987","66 years 01 month","792","850000","1","1"
"2020-01","EXECUTIVE","261","BISHAN ST 22","04 TO 06","4","150","1992","71 years 07 months","852","880000","1","1"
"2020-01","EXECUTIVE","238","BISHAN ST 22","04 TO 06","4","149","1992","71 years 06 months","852","815000","1","1"
"2020-01","EXECUTIVE","212","BISHAN ST 23","04 TO 06","4","149","1992","71 years 03 months","852","913000","1","1"
"2020-02","3 ROOM","176","BISHAN ST 13","04 TO 06","4","64","1988","67 years 02 months","804","380000","1","1"
"2020-02","4 ROOM","122","BISHAN ST 12","07 TO 09","7","104","1986","65 years","780","592500","2","1"
"2020-02","4 ROOM","111","BISHAN ST 12","07 TO 09","7","105","1986","64 years 11 months","768","640000","2","1"
"2020-02","4 ROOM","111","BISHAN ST 12","04 TO 06","4","84","1986","64 years 11 months","768","450000","1","1"
"2020-02","4 ROOM","130","BISHAN ST 12","01 TO 03","1","105","1986","65 years","780","550000","1","1"
"2020-02","4 ROOM","185","BISHAN ST 13","07 TO 09","7","84","1988","67 years 02 months","804","572500","2","1"
"2020-02","4 ROOM","255","BISHAN ST 22","04 TO 06","4","112","1992","71 years 06 months","852","590000","1","1"
"2020-02","4 ROOM","243","BISHAN ST 22","19 TO 21","19","116","1992","71 years 06 months","852","680000","3","1"
"2020-02","4 ROOM","250","BISHAN ST 22","10 TO 12","10","103","1992","71 years 05 months","852","550000","2","1"
"2020-02","4 ROOM","235","BISHAN ST 22","01 TO 03","1","105","1992","71 years 02 months","852","550000","1","1"
"2020-02","4 ROOM","226","BISHAN ST 23","04 TO 06","4","105","1992","71 years 03 months","852","468000","1","1"
"2020-02","4 ROOM","287","BISHAN ST 24","01 TO 03","1","103","1992","71 years 06 months","852","475000","1","1"
"2020-02","4 ROOM","288","BISHAN ST 24","10 TO 12","10","100","1998","77 years 04 months","924","615000","2","1"
"2020-02","4 ROOM","272","BISHAN ST 24","10 TO 12","10","104","1992","71 years 05 months","852","510000","2","1"
"2020-02","4 ROOM","445","SIN MING AVE","04 TO 06","4","107","1990","68 years 11 months","816","542000","1","1"
"2020-02","5 ROOM","127","BISHAN ST 12","10 TO 12","10","121","1986","65 years 10 months","780","683000","2","1"
"2020-02","5 ROOM","155","BISHAN ST 13","01 TO 03","1","130","1987","66 years 09 months","792","610000","1","1"
"2020-02","5 ROOM","190","BISHAN ST 13","04 TO 06","4","121","1987","65 years 11 months","780","755000","1","1"
"2020-02","5 ROOM","194","BISHAN ST 13","19 TO 21","19","121","1987","66 years 03 months","792","850000","3","1"
"2020-02","5 ROOM","157","BISHAN ST 13","13 TO 15","13","131","1988","66 years 11 months","792","705000","3","1"
"2020-02","5 ROOM","163","BISHAN ST 13","01 TO 03","1","121","1988","67 years 05 months","804","658888","1","1"
"2020-02","5 ROOM","223","BISHAN ST 23","04 TO 06","4","121","1992","71 years 05 months","852","845000","1","1"
"2020-02","5 ROOM","288","BISHAN ST 24","13 TO 15","13","121","1998","77 years 04 months","924","735000","3","1"
"2020-02","5 ROOM","405","SIN MING AVE","07 TO 09","7","120","1986","65 years 05 months","780","625000","2","1"
"2020-02","5 ROOM","408","SIN MING AVE","04 TO 06","4","120","1986","65 years 04 months","780","640000","1","1"
"2020-02","EXECUTIVE","212","BISHAN ST 23","01 TO 03","1","147","1992","71 years 03 months","852","858000","1","1"
"2020-02","EXECUTIVE","401","SIN MING AVE","01 TO 03","1","149","1985","64 years 09 months","768","845000","1","1"
"2020-03","3 ROOM","108","BISHAN ST 12","01 TO 03","1","64","1985","64 years 07 months","768","325000","1","1"
"2020-03","3 ROOM","313","SHUNFU RD","10 TO 12","10","67","1985","64 years 03 months","768","399000","2","1"
"2020-03","3 ROOM","304","SHUNFU RD","01 TO 03","1","67","1985","64 years","768","400000","1","1"
"2020-03","3 ROOM","22","SIN MING RD","04 TO 06","4","68","1973","52 years 07 months","624","210000","1","0"
"2020-03","4 ROOM","506","BISHAN ST 11","04 TO 06","4","103","1989","68 years 06 months","816","715000","1","1"
"2020-03","4 ROOM","146","BISHAN ST 11","04 TO 06","4","103","1987","66 years 05 months","792","480000","1","1"
"2020-03","4 ROOM","120","BISHAN ST 12","04 TO 06","4","91","1986","65 years 02 months","780","490000","1","1"
"2020-03","4 ROOM","138","BISHAN ST 12","07 TO 09","7","84","1987","66 years 04 months","792","460000","2","1"
"2020-03","4 ROOM","197","BISHAN ST 13","07 TO 09","7","84","1987","65 years 10 months","780","500000","2","1"
"2020-03","4 ROOM","167","BISHAN ST 13","01 TO 03","1","84","1988","67 years 06 months","804","390000","1","1"
"2020-03","4 ROOM","167","BISHAN ST 13","04 TO 06","4","84","1988","67 years 06 months","804","395000","1","1"
"2020-03","4 ROOM","235","BISHAN ST 22","01 TO 03","1","105","1992","71 years 02 months","852","570000","1","1"
"2020-03","4 ROOM","263","BISHAN ST 22","01 TO 03","1","106","1992","71 years 06 months","852","502888","1","1"
"2020-03","4 ROOM","249","BISHAN ST 22","01 TO 03","1","110","1992","71 years 05 months","852","490000","1","1"
